DBID,Name/Model,Era,Year,Technology Base,Chassis,Rules Level (Current),Tonnage,Designer,Battle Value,Cost,Rating
1993,1A Class Instruction Mech SUPER-6000L,Civil War,3067,Inner Sphere,Biped,Tournament Legal,25,Sleeping Dragon,345,2300833,0.7
5337,3 LEGGED BETTY 3-LBTY,Clan Invasion,3050,Inner Sphere,Tripod,Advanced,70,Muddy Pete,1631,16307477,-----
5478,3 LEGGED BETTY II 3-LBTY,Dark Age,3145,Inner Sphere,Tripod,Advanced,70,Muddy Pete,1612,16307477,-----
4796,3145 Munch Master MM-#1,Dark Age,3144,Clan (Mixed),Biped,Experimental,35,Stinger07,2934,24049125,-----
5018,55-MB1C,Jihad,3071,Inner Sphere,Biped,Tournament Legal,55,Starwyn,1948,12578069,-----
5013,Abuser A1A-MB1C,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,85,Pinhead,2071,8125200,-----
1907,Ace of Spades,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,Alan,2003,28349333,2.055556
5309,Adder ADD-1X,Late Succession Wars,3024,Inner Sphere,Biped,Introductory,45,hughewil,1138,3816690,-----
2028,Adder F,Clan Invasion,3060,Clan,Biped,Tournament Legal,35,mud,1705,5789475,3
2078,Adder J,Clan Invasion,3050,Clan,Biped,Tournament Legal,35,mud,1918,6215535,3.25
5047,Advanced Forces Logistical Support Mk 4 (Master Chief) AFLS-4-MB1C,Jihad,3071,Inner Sphere,Tripod,Advanced,75,Vagabond,845,6934025,-----
6419,Aggressor AG-R3,Late Succession Wars,3035,Inner Sphere,Biped,Introductory,75,CarcerKango,1440,6006000,-----
3478,Agrotera AGT-1A,Republic,3108,Inner Sphere,Biped,Advanced,50,Catalyst Game Labs,1578,13230000,-----
5742,Agrotera AGT-1X,Republic,3111,Inner Sphere (Mixed),Biped,Advanced,50,Kylo Kruis,2153,13195875,-----
4020,Agrotera AGT-UA (Ariel),Dark Age,3144,Inner Sphere (Mixed),Biped,Advanced,50,Catalyst Game Labs,1913,11472000,-----
5828,Aguijon (Agj-1) Run-1,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,75,Gray Noton,1193,6686750,-----
5829,Aguijon Agj-2,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,60,Gray Noton,1129,4975360,-----
5799,Ahklut AK-9-T9,Republic,3130,Inner Sphere,Biped,Tournament Legal,45,Karagin,1236,7266603,-----
2229,Air Defense Mech Experimental ADMX,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,GhostBear-1086,2139,28005333,1.666667
2184,Ajax A1-A4S,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,95,Archilochus,2279,9662640,4
